HHID,AGE ,EDUC,INCOME,GENDER
51,37,15,11398,0
52,60,7,39786,0
53,43,8,35362,1
54,44,8,20853,0
55,51,10,35526,1
56,66,13,34213,0
57,63,11,29479,1
58,64,5,49932,1
59,31,10,49946,1
60,68,1,12953,0
61,57,13,15638,1
62,39,10,13853,0
63,52,4,24673,0
64,32,9,20036,1
65,61,8,27502,1
66,52,8,36654,1
67,36,4,47246,1
68,49,8,18777,0
69,35,11,48422,0
70,54,12,23018,0
71,35,2,19718,0
72,38,10,12519,1
73,41,7,49425,0
74,43,2,36704,1
75,63,2,23333,0
76,31,5,39020,1
77,31,6,32636,1
78,61,6,49770,1
79,43,15,16295,0
80,31,3,14944,0
81,46,10,35837,1
82,66,11,41853,0
83,54,6,14143,1
84,44,15,37713,0
85,37,4,38506,0
86,57,14,18618,0
87,46,5,28987,1
88,66,1,19766,0
89,45,3,26698,1
90,66,7,40519,0
91,51,9,28272,0
92,36,7,40648,0
93,65,5,15231,0
94,49,15,16424,0
95,40,5,46240,0
96,30,15,34940,1
97,63,1,31498,1
98,36,4,28524,0
99,46,13,31876,1
100,67,4,29098,0
